United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
2011,1,15.9,14.4,16.4,14.0,16.9,13.8,17.3,2,6.7,6.3,7.6,6.0,7.9,6.0,8.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,41.6,38.3,45.1,37.4,46.5,35.7,48.7,2,20.6,18.1,22.4,17.6,23.4,17.2,24.0,1,2.3,1.9,2.6,1.8,2.7,1.7,2.8,2,3.6,3.0,3.7,2.9,3.8,2.8,3.9,18,90.7,82.0,97.8,79.7,101.2,77.2,104.8
2012,1,38.7,37.3,41.8,36.5,42.9,35.9,43.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20.8,19.1,21.5,18.8,21.8,18.6,22.0,2,85.4,71.0,93.6,67.1,98.6,65.0,101.6,1,2.2,1.9,2.5,1.9,2.5,1.8,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,147.1,129.3,159.4,124.3,165.8,121.3,169.8
2013,1,13.2,12.5,14.5,12.2,14.9,11.9,15.2,2,3.3,2.9,3.9,2.7,4.1,2.7,4.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,13.5,12.6,14.1,12.2,14.7,11.9,15.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,30.0,28.0,32.5,27.1,33.7,26.5,34.6
2014,1,4.9,4.2,5.7,4.0,6.0,3.7,6.2,1,1.3,1.2,1.4,1.0,1.5,1.0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13.7,12.9,14.3,12.6,14.5,12.4,14.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.7,2.6,3.0,2.4,3.1,2.2,3.2,9,22.6,20.9,24.4,20.0,25.1,19.3,25.8
2015,1,5.6,5.0,7.1,4.7,7.7,4.5,8.1,2,5.6,4.6,5.8,4.3,6.0,4.2,6.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10.1,9.4,11.1,9.3,11.6,9.1,11.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.7,3.4,3.9,3.3,4.0,3.3,4.0,1,3.7,3.6,3.9,3.5,4.0,3.4,4.1,11,28.7,26.0,31.8,25.1,33.3,24.5,34.1
2016,1,4.2,3.0,4.7,2.7,4.9,2.5,5.2,4,19.6,15.2,23.0,14.3,24.2,13.4,25.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17.8,15.8,18.4,15.2,18.9,14.8,19.4,1,12.1,9.0,13.2,8.7,13.6,8.5,13.9,1,2.9,2.5,3.0,2.4,3.0,2.4,3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,56.6,45.5,62.3,43.3,64.6,41.6,66.8
2017,1,3.0,2.3,3.2,2.2,3.5,2.0,3.6,2,3.8,2.8,4.3,2.6,4.6,2.5,4.8,1,1.2,1.0,1.4,1.0,1.4,0.8,1.5,10,21.9,20.1,23.2,19.6,23.6,18.5,24.6,3,315.4,254.7,365.4,229.1,401.7,214.3,416.6,1,21.4,17.6,24.4,16.9,26.2,16.7,26.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,366.7,298.5,421.9,271.4,461.0,254.8,477.9
2018,1,3.5,3.2,4.0,3.1,4.1,3.0,4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,14.6,12.7,15.8,12.3,16.4,12.1,17.4,2,56.8,46.4,67.3,40.6,73.1,35.4,78.3,1,27.8,22.9,32.8,22.0,33.6,20.9,34.8,2,3.8,3.3,4.2,3.1,4.4,2.9,4.6,15,106.5,88.5,124.1,81.1,131.6,74.3,139.5
2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,22.9,18.3,26.8,17.4,28.1,16.4,31.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,15.6,14.4,17.8,13.6,18.3,13.1,19.3,2,7.5,4.8,9.5,4.5,10.2,4.2,11.0,1,5.1,3.7,6.0,3.4,6.8,2.9,7.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51.1,41.2,60.1,38.9,63.4,36.6,69.3
2020,1,5.0,4.4,5.6,4.1,5.9,3.9,6.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,37.8,34.6,41.2,33.2,42.9,32.0,44.8,7,50.3,41.6,55.5,39.5,56.0,37.3,59.2,1,18.4,15.1,21.8,14.6,21.0,14.0,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,111.5,95.7,124.1,91.4,125.8,87.2,133.2
2021,1,9.4,9.0,10.0,8.4,10.7,8.0,11.3,2,2.7,2.3,3.2,2.2,3.3,2.0,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,21.6,18.1,24.2,17.3,24.9,16.7,26.0,4,82.5,70.2,95.3,66.1,99.1,60.2,106.0,1,11.2,9.2,12.9,8.5,13.6,8.0,14.1,1,25.2,22.2,29.2,21.4,30.0,20.2,31.2,20,152.6,131.0,174.8,123.9,181.6,115.1,192.1
2022,1,9.3,7.4,10.1,6.8,11.8,6.3,12.7,1,1.2,1.0,1.4,0.9,1.5,0.8,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,18.8,17.3,19.9,16.5,20.9,15.9,22.0,2,0.0,4.0,5.4,3.7,6.0,3.1,7.9,1,0.0,1.7,1.9,1.5,2.6,1.2,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,29.3,31.4,38.7,29.4,42.8,27.3,47.3
